Sample 0,,Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 6,,Sample 7,,Sample 8,,Sample 9,,Sample 10,,blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
750,0.0526568409960315,750,0.0777854421026121,750,0.102708233240612,750,0.124716898754941,750,0.134096497869378,750,0.133438418242882,750,0.118986013457373,750,0.110480222055115,750,0.091883899686268,750,0.0824043725563785,750,0.080408430335448,750,0.0516874066513569
749,0.0520845689665833,749,0.0781856437215384,749,0.103589568929464,749,0.125574961785845,749,0.135635422583837,749,0.134517588684284,749,0.119805085487543,749,0.1110313487798,749,0.091740597899289,749,0.0825955930873609,749,0.080418024968274,749,0.0518760973291948
748,0.0518137065942499,748,0.0785070260143853,748,0.104178439326672,748,0.126990916072252,748,0.136914918999011,748,0.135425344261981,748,0.120817461146424,748,0.111771615764976,748,0.0923334595947964,748,0.0826909061253091,748,0.080640474267628,748,0.0520060119899343
747,0.0516212822414213,747,0.0788563330454848,747,0.105059667451782,747,0.128343176411536,747,0.137995766709804,747,0.136700461990191,747,0.121807084078008,747,0.112536894472832,747,0.0932814659078825,747,0.0830110342089529,747,0.0804553152131887,747,0.0519356379402433
746,0.0520130441862455,746,0.0792200560253745,746,0.106349304864611,746,0.12968821499888,746,0.14023820798856,746,0.138145783127012,746,0.122922935962983,746,0.113494930876134,746,0.0936267121082849,746,0.0834953241902351,746,0.0804001753826908,746,0.0517163319570043
745,0.0520012558387221,745,0.0801106348598544,745,0.10706579424222,745,0.131061059685663,745,0.141676143441297,745,0.139442735720915,745,0.124459317072021,745,0.114500571161244,745,0.09478370490327,745,0.083970512571201,745,0.0806081233899463,745,0.0518082817365111
744,0.0522471266413671,744,0.080485411429873,744,0.108279925612907,744,0.132176899289296,744,0.142943151474583,744,0.141123439935804,744,0.125538877191004,744,0.115880446928988,744,0.0951288266388193,744,0.0840256992530491,744,0.0806561519085597,744,0.0518347650174243
743,0.0526764791358808,743,0.0811151996774613,743,0.109340836694086,743,0.133739349288683,743,0.144595157370205,743,0.14297646612119,743,0.126620469223945,743,0.116413733375053,743,0.096119618662904,743,0.0845542382741389,743,0.080698107186706,743,0.0520039986434929
742,0.052454900224338,742,0.0817406217982016,742,0.110055178590533,742,0.135350391413271,742,0.146061058311535,742,0.14410599796482,742,0.127797653367073,742,0.117556343990924,742,0.0967434622703713,742,0.0846082410333145,742,0.0808404611637188,742,0.0520339955539732
741,0.0520028898479891,741,0.0820596434080189,741,0.111032318160227,741,0.136611780245748,741,0.147881462031423,741,0.145776237754624,741,0.128949018655378,741,0.118688495993199,741,0.0976364887212779,741,0.0851142493563104,741,0.0807480473552982,741,0.0520040570012295
740,0.0522009714735735,740,0.0821290990203808,740,0.111974810110976,740,0.138331231912197,740,0.149628562249194,740,0.14780443764939,740,0.130384981725623,740,0.119395628993083,740,0.0974651946179276,740,0.0850444406719801,740,0.0811193183342713,740,0.0521299820806494
739,0.0520754343829885,739,0.0827161782346681,739,0.113092385468864,739,0.139279713503724,739,0.15047847172977,739,0.14852154362556,739,0.13108661381639,739,0.119880575354359,739,0.0983989931246604,739,0.0854978147377624,739,0.0808854904003128,739,0.051647987360803
738,0.0518494656853415,738,0.0831054667762181,738,0.113558169114104,738,0.140672742881611,738,0.152679584021913,738,0.1501480524218,738,0.132423158290504,738,0.120787683858326,738,0.0988306826757371,738,0.0857636265145922,738,0.08079325408263,738,0.0515906724978259
737,0.0516223026033643,737,0.0836410774687841,737,0.114705451161443,737,0.142373923633224,737,0.154355414879699,737,0.151572917740742,737,0.133412197439384,737,0.121711867528988,737,0.099379872102223,737,0.0855668767357054,737,0.0805489755113804,737,0.0511080817493712
736,0.0511252039027947,736,0.0835636291627056,736,0.115197470118116,736,0.143578476666614,736,0.155955879553871,736,0.153073612553664,736,0.134709083727762,736,0.122507579058178,736,0.100000077197869,736,0.0855494447160322,736,0.0802120672934735,736,0.0508976043100611
735,0.0510791095749118,735,0.0840563266469403,735,0.116328658585396,735,0.144631018729886,735,0.157202470973645,735,0.15412737379818,735,0.135238869963025,735,0.123163761119659,735,0.100535282043763,735,0.0861231773030375,735,0.0800109067259631,735,0.0507533857330549
734,0.050694385157106,734,0.0846365188898616,734,0.116897663558544,734,0.14610436101691,734,0.158573056109996,734,0.155229474384236,734,0.13644365023043,734,0.124164573702141,734,0.100417051749657,734,0.0856084894485458,734,0.0798433440660863,734,0.0504522990741734
733,0.0501037158715514,733,0.0841329831310148,733,0.117380268026335,733,0.147278984435371,733,0.159505246524056,733,0.15655419037538,733,0.137321386630646,733,0.124575863429471,733,0.100957016850667,733,0.0858999216809274,733,0.0793462642021873,733,0.0496711515963271
