s.1,,Sample 6,,Sample 10,,Blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
737,0.0415608470750192,737,0.0417250405809435,737,0.783795550890442,737,0.0445469508491282
736,0.0410530749974042,736,0.041722618396723,736,0.776963377315069,736,0.044242424761401
735,0.0410298300844405,735,0.041073105883663,735,0.771767266499759,735,0.0437797223377982
734,0.0402831839709077,734,0.040755906983428,734,0.7653822262345,734,0.0433756907838737
733,0.0396435612928191,733,0.0403412129566913,733,0.759377984620904,733,0.0429214255307656
732,0.0394029923646219,732,0.0401253264266943,732,0.754334509199997,732,0.0423116067322014
731,0.0392783798770721,731,0.0394544688621691,731,0.747497136743614,731,0.0418424899786058
730,0.0382791746217959,730,0.0388198010693584,730,0.741167222673712,730,0.0410954140943764
729,0.0380520470022072,729,0.0385036490722145,729,0.734738086106963,729,0.0408734073939856
728,0.0373650000817262,728,0.0379305333297211,728,0.728820359220532,728,0.0403047699615556
727,0.0369507394840485,727,0.0377223919822781,727,0.722484870822764,727,0.0397449889045795
726,0.0365709179766251,726,0.0372763961387082,726,0.716931601402436,726,0.039963751546244
725,0.0362374043281619,725,0.0372667780144959,725,0.710556205461081,725,0.0393268092752772
724,0.03626399607846,724,0.036921738280002,724,0.704178428376033,724,0.039016461652221
723,0.0360846950930651,723,0.0365632866365305,723,0.697225684958368,723,0.0388433243018955
722,0.0358017847687129,722,0.0366810382167404,722,0.69144709293591,722,0.0389456128100212
721,0.0356107607600493,721,0.0362417939652126,721,0.685007601446832,721,0.0385894482989228
720,0.0353199877817343,720,0.0359809689668908,720,0.678341141692831,720,0.0380467348359908
719,0.0352125982010219,719,0.0359290870738979,719,0.672089879953559,719,0.0380224353295995
718,0.035335852807562,718,0.0360566798470101,718,0.665173777229226,718,0.0377934086523417
717,0.0348406319713969,717,0.0354970630990448,717,0.65931101904381,717,0.0375935750756051
716,0.0343644943391132,716,0.0350891540506099,716,0.652763714799695,716,0.0370899383951721
715,0.0340897298978694,715,0.0346870391247441,715,0.646186866185807,715,0.0366805593726461
714,0.0340785861405583,714,0.0345143015662797,714,0.639846396627532,714,0.036484869010225
713,0.0336278117698569,713,0.0342325240928392,713,0.632762340399943,713,0.0362749427852637
712,0.0335226573591769,712,0.0341284552778578,712,0.62618126000961,712,0.0360939776514949
711,0.033505208664711,711,0.0343274288085571,711,0.619880268355272,711,0.0360453448744308
710,0.0332924413277198,710,0.03395190900195,710,0.61352057916729,710,0.0359453118020154
709,0.0332378894889556,709,0.0339161661378336,709,0.605718183964327,709,0.0358085031935108
708,0.0333020277326558,708,0.0336888465648847,708,0.600287112649229,708,0.035153510163052
707,0.0329578882022745,707,0.0335600457844633,707,0.593279323260349,707,0.0350204581795869
706,0.0332956554049203,706,0.0335582280229297,706,0.587006922396959,706,0.0348985273219155
705,0.0332948169477052,705,0.0336913362505191,705,0.580512844181676,705,0.0350001714038895
704,0.0330469002664378,704,0.0336448737956097,704,0.573822589600764,704,0.0352091734016763
703,0.0330663976568008,703,0.0334537614671034,703,0.566278045265576,703,0.0349054001022513
702,0.0330034672500004,702,0.0337912991278347,702,0.560850702260438,702,0.0350454040755854
701,0.0331734533678102,701,0.0338627392599245,701,0.554392898620995,701,0.0350696217660462
700,0.0330395819876834,700,0.0336802586576729,700,0.547606777658691,700,0.0349394570349063
699,0.0321433832771491,699,0.0327347539679742,699,0.539947311633463,699,0.0342507583067406
698,0.0315157955609015,698,0.0320700794086143,698,0.533549696505014,698,0.0337548140679657
697,0.0320038935792357,697,0.0327831849041066,697,0.527337443399177,697,0.0339636933161216
696,0.0322083637043156,696,0.0327051118750126,696,0.520420705892373,696,0.0340071384908296
695,0.0324732086155743,695,0.0330697217977972,695,0.515263067376851,695,0.0340659307629341
694,0.032348393192134,694,0.033000981504589,694,0.508565118504919,694,0.0340772421891494
693,0.0320734795425555,693,0.0328695365650309,693,0.501694667811399,693,0.0339706632866342
692,0.0324187316851714,692,0.0330819850254072,692,0.494701819061749,692,0.0340746102963542
691,0.0323963348066805,691,0.0328978216533898,691,0.488364912602196,691,0.0339556877852055
690,0.0321410418216186,690,0.0327601830252953,690,0.482688343783603,690,0.0338125648404039
689,0.0322825274228545,689,0.0329043277635305,689,0.476454051881303,689,0.0336853218658085
688,0.0322791256518694,688,0.0329924630467751,688,0.469739884331589,688,0.0337779246472742
687,0.0321725967836122,687,0.0328869597382028,687,0.463148317559941,687,0.0335123110935623
686,0.0321077331963941,686,0.0327739449253223,686,0.457104551875359,686,0.0335873131205074
685,0.0322562898626954,685,0.0327121733199848,685,0.450675217573799,685,0.033580628968969
684,0.0321485400987276,684,0.0329002509620831,684,0.444094185788768,684,0.0336385244060776
683,0.0322175637782819,683,0.0328502992899502,683,0.438105241314343,683,0.0335416447959495
682,0.0322350165753401,682,0.0331138878000135,682,0.431619134410005,682,0.03378142211811
681,0.03202356713437,681,0.0328814032336662,681,0.425378657126194,681,0.0333641628285568
680,0.0317463803868707,680,0.0323713174923957,680,0.419214857967742,680,0.0329231485622457
679,0.0319040347707912,679,0.0325313471938864,679,0.413036330013921,679,0.0328798954507283
678,0.0318296014000315,678,0.0326371548256634,678,0.407138695077042,678,0.0330968186860182
677,0.0319262391110411,677,0.0325660276045351,677,0.400672593728329,677,0.0332119294679958
676,0.0319674469113408,676,0.0328779967685491,676,0.394754312449352,676,0.0333276856825806
675,0.0321531116025713,675,0.032872133243631,675,0.388871897454415,675,0.0332186079473082
674,0.0320665678228149,674,0.0328655717738935,674,0.383372127809554,674,0.0328411416412469
673,0.032095692547985,673,0.0327429603286934,673,0.377334042097522,673,0.0329886088486331
672,0.0320434923939011,672,0.0327558284378167,672,0.371218955827228,672,0.0330705318864336
671,0.0321350209939341,671,0.0328028937936583,671,0.365684357783413,671,0.0331920622978146
670,0.0323091569606834,670,0.0328067742611511,670,0.359980366065638,670,0.0329937198579125
669,0.0320163775448825,669,0.0329432268416473,669,0.354432657120911,669,0.032932000762954
668,0.0321864237084508,668,0.0329265833063975,668,0.348686814173278,668,0.0326173697410103
667,0.0323192236301158,667,0.0330923210442518,667,0.342950137676229,667,0.0328400807066225
666,0.0322545611949433,666,0.033118357727942,666,0.337540570580188,666,0.0331023500111867
665,0.0322254258141075,665,0.0330490231489984,665,0.332149055459545,665,0.0328356415609092
664,0.0323878282003253,664,0.0329806212715269,664,0.326722740054556,664,0.0329603178469856
663,0.0325131571283729,663,0.0331887372202814,663,0.32148254525817,663,0.0330495818040285
662,0.0323992354580893,662,0.0331453179563031,662,0.316013577305131,662,0.0328203422114127
661,0.0325996783412012,661,0.0332300649920354,661,0.310722063481032,661,0.03314942499809
660,0.0324561925578201,660,0.0329611835857419,660,0.305326112982884,660,0.0328796720759234
659,0.031825785362162,659,0.0326628293398564,659,0.300254936976734,659,0.0323657396923743
658,0.0318142260360092,658,0.0326702529061827,658,0.29533075873495,658,0.0323453255551865
657,0.0319307804145652,657,0.0327675524266518,657,0.290044127148722,657,0.0324451464247498
656,0.0317591354511409,656,0.0326701691810429,656,0.284953315658017,656,0.0324576988704618
655,0.0319527353614468,655,0.0327069539800231,655,0.279842146210688,655,0.0325039786882046
654,0.0323657396923743,654,0.0329149108719336,654,0.27530031923486,654,0.0324612415152302
653,0.0321468676093443,653,0.0328521140908198,653,0.270464068336323,653,0.0323117502908834
