Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 0,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
720,0.0702091030372595,720,0.099843419903863,720,0.115005885129437,720,0.15097512223112,720,0.174810112553634,720,0.045708120196734
719,0.070351833845333,719,0.100134427811257,719,0.115968476757609,719,0.152465953261024,719,0.176720381137758,719,0.045717179350243
718,0.0703928966614358,718,0.100685497900152,718,0.117366293570284,718,0.15357497415566,718,0.178235657385616,718,0.0452876958330848
717,0.0710253706910132,717,0.10147044768983,717,0.118251540158594,717,0.155650679908883,717,0.180413102151183,717,0.0450497239580174
716,0.070752826620676,716,0.101629623032888,716,0.118865477648595,716,0.15668613812917,716,0.182042574438583,716,0.0446456285783036
715,0.0707960906752963,715,0.102442892967529,715,0.120227492544965,715,0.158067384657693,715,0.184140180859223,715,0.0445835221018033
714,0.0711216842802988,714,0.102927341455492,714,0.121195923348638,714,0.159609644672338,714,0.18655150799475,714,0.0441373624941774
713,0.0717049305804572,713,0.104526665630658,713,0.123018040445863,713,0.161591645977226,713,0.188452038138399,713,0.0442120727396944
712,0.0720577298829916,712,0.105083868392239,712,0.123606205996505,712,0.163726307350903,712,0.190387044602786,712,0.0438990748384998
711,0.0721153962880625,711,0.105587184231068,711,0.124824439213875,711,0.16496788297303,711,0.192594811162571,711,0.0436907733693848
710,0.0724545208328408,710,0.106689877967876,710,0.126613816756054,710,0.166696007773341,710,0.195187184841797,710,0.0437574476001676
709,0.0728762581523159,709,0.107583451416569,709,0.127798105020851,709,0.169186033940944,709,0.197516586443167,709,0.0438862159508526
708,0.0733893393164154,708,0.108251693125027,708,0.129020923653451,708,0.170657296417574,708,0.199751436436531,708,0.043248131761005
707,0.0736376886175976,707,0.108767142010911,707,0.130263022728879,707,0.172632427719257,707,0.202069773611828,707,0.0429786649751668
706,0.073863380376418,706,0.110333922516581,706,0.131734405373344,706,0.174500196819656,706,0.204177763980848,706,0.0432237682451869
705,0.0746079175265845,705,0.11114571717344,705,0.13346900531475,705,0.17659270077638,705,0.206844549794279,705,0.0430416285037849
704,0.0753771963446757,704,0.112444627607541,704,0.135431284474893,704,0.179065532156892,704,0.209412921412334,704,0.0429554882353101
703,0.0750337828739832,703,0.113347780449299,703,0.136763482776155,703,0.180949612118338,703,0.21270523607281,703,0.0428883655444287
702,0.0758050191597587,702,0.114785488124079,702,0.138599669669972,702,0.18337001063335,702,0.214722821089539,702,0.0431979192485808
701,0.0764321879548942,701,0.115597547139436,701,0.140144011189816,701,0.185405378448796,701,0.217943925107186,701,0.0431172939882982
700,0.0770514230677974,700,0.116840306039504,700,0.141648129282537,700,0.187452482501697,700,0.220391212307303,700,0.0430818178979152
699,0.076704737836508,699,0.116999489273269,699,0.142348666675607,699,0.189010618126722,699,0.222397300311989,699,0.0424282158977787
698,0.0770109003776673,698,0.117783210625682,698,0.143384688046732,698,0.190334118515074,698,0.224446723778486,698,0.0418917478082218
697,0.0776133501815257,697,0.119055436295682,697,0.145785363025322,697,0.193227328096733,697,0.227800388664722,697,0.0421955423583304
696,0.0784445973560459,696,0.120639648226021,696,0.148040939005472,696,0.196346316610499,696,0.230849455818348,696,0.0424565310213247
695,0.0790645988321409,695,0.121921618284374,695,0.150012517841983,695,0.19835008436183,695,0.23402522533487,695,0.0423584920676937
694,0.0797003834874898,694,0.123180639007927,694,0.151517618020369,694,0.201243184196661,694,0.237339412147112,694,0.0423006780113845
693,0.0802152432770095,693,0.124347317221602,693,0.152935689508386,693,0.203336407250013,693,0.240415637703069,693,0.0422353967597608
692,0.0808188213495465,692,0.125603617301988,692,0.154990987257161,692,0.205970604279773,692,0.242802304452925,692,0.0422642414174886
691,0.0812209554447907,691,0.126936266820546,691,0.156840301204802,691,0.20836755456593,691,0.246412260291824,691,0.0422502610770669
690,0.0819618114591459,690,0.128228814286062,690,0.158456752098905,690,0.210556768119627,690,0.249187912528497,690,0.0422366235459582
689,0.0824738833266975,689,0.129063849365656,689,0.160545638595554,689,0.213414084678369,689,0.252087281701644,689,0.0422291772923575
688,0.083125496767269,688,0.130499283849329,688,0.162523156965321,688,0.21591884557328,688,0.255792140148509,688,0.0421157019158159
687,0.0838236753998357,687,0.132055734255138,687,0.164296994351245,687,0.218633888526812,687,0.258311846285547,687,0.0421865563665188
686,0.084256101651506,686,0.133163090795197,686,0.166151610190512,686,0.221360840313949,686,0.26178293859491,686,0.0421821347562611
685,0.0850020634262104,685,0.134760271602087,685,0.168576717966428,685,0.223871332327968,685,0.264980423538376,685,0.0422780510118903
684,0.0858882492792348,684,0.136331741431242,684,0.170723065036173,684,0.226852995123238,684,0.268696190343733,684,0.0422567376278008
683,0.0864036479928073,683,0.137494262183962,683,0.172707357405326,683,0.22952588779362,683,0.272026669284376,683,0.042235739118351
682,0.087072007129766,682,0.139125703206345,682,0.174808215543462,682,0.232550697696089,682,0.275684056861837,682,0.04234502236
681,0.0876907723308861,681,0.140512585428112,681,0.177195818928978,681,0.235205472870766,681,0.279012612926999,681,0.0422890932969028
680,0.0878937478243051,680,0.14151471916163,680,0.178382713976263,680,0.237552820278052,680,0.28216319176032,680,0.0419162362736671
679,0.0886752616851664,679,0.143030868748467,679,0.180756938505401,679,0.240456614870458,679,0.285514447065711,679,0.0418878993390904
678,0.0893023263199728,678,0.144268749320027,678,0.183002322131861,678,0.243810091062652,678,0.289059948533194,678,0.0419637917433615
677,0.0904196600519112,677,0.146024752592514,677,0.185323188549317,677,0.246481157300036,677,0.293285418787789,677,0.0418369317201472
676,0.0910203921703718,676,0.147561738294174,676,0.187582678661506,676,0.249778450544083,676,0.297075900656506,676,0.0419872577816679
675,0.0918305517422075,675,0.149096045679712,675,0.189968587039522,675,0.252701370866442,675,0.300622844977826,675,0.0421094556406964
674,0.0924254578306092,674,0.150835848962345,674,0.192207062676703,674,0.255864081219561,674,0.304194798253465,674,0.0422278364096804
673,0.093327258238783,673,0.152306203479798,673,0.194734246170104,673,0.25915839244678,673,0.308055852324311,673,0.0419500491601901
672,0.0941389716266692,672,0.154152808328853,672,0.19686468049256,672,0.262580650464218,672,0.312036387615165,672,0.042160797553739
671,0.0948696214678268,671,0.155783539162537,671,0.199535527205293,671,0.265713248562824,671,0.316331692623637,671,0.0420914018437287
670,0.0957050376649444,670,0.157663070024229,670,0.201912826744022,670,0.269028923293988,670,0.320105039685261,670,0.0422743703126095
669,0.0962393015580844,669,0.158860985636147,669,0.204182941894232,669,0.272004780654628,669,0.323892849939035,669,0.042011808663727
668,0.0970997597718125,668,0.160562122913123,668,0.206612714174118,668,0.275153133252873,668,0.327953835564047,668,0.0419529002827733
667,0.098097724205477,667,0.162254754519396,667,0.209087660122843,667,0.278594752287647,667,0.332163516317134,667,0.0422317164219607
666,0.098899850052488,666,0.163941661897108,666,0.211582816426157,666,0.28206559744419,666,0.336389239911921,666,0.0421663314333871
